"pattern_type","group_id","center_star","hour_zodiac","start_hour","end_hour"
"SP_DESC",1,9,"子",23,1
"SP_DESC",1,8,"丑",1,3
"SP_DESC",1,7,"寅",3,5
"SP_DESC",1,6,"卯",5,7
"SP_DESC",1,5,"辰",7,9
"SP_DESC",1,4,"巳",9,11
"SP_DESC",1,3,"午",11,13
"SP_DESC",1,2,"未",13,15
"SP_DESC",1,1,"申",15,17
"SP_DESC",1,9,"酉",17,19
"SP_DESC",1,8,"戌",19,21
"SP_DESC",1,7,"亥",21,23
"SP_DESC",2,6,"子",23,1
"SP_DESC",2,5,"丑",1,3
"SP_DESC",2,4,"寅",3,5
"SP_DESC",2,3,"卯",5,7
"SP_DESC",2,2,"辰",7,9
"SP_DESC",2,1,"巳",9,11
"SP_DESC",2,9,"午",11,13
"SP_DESC",2,8,"未",13,15
"SP_DESC",2,7,"申",15,17
"SP_DESC",2,6,"酉",17,19
"SP_DESC",2,5,"戌",19,21
"SP_DESC",2,4,"亥",21,23
"SP_DESC",3,3,"子",23,1
"SP_DESC",3,2,"丑",1,3
"SP_DESC",3,1,"寅",3,5
"SP_DESC",3,9,"卯",5,7
"SP_DESC",3,8,"辰",7,9
"SP_DESC",3,7,"巳",9,11
"SP_DESC",3,6,"午",11,13
"SP_DESC",3,5,"未",13,15
"SP_DESC",3,4,"申",15,17
"SP_DESC",3,3,"酉",17,19
"SP_DESC",3,2,"戌",19,21
"SP_DESC",3,1,"亥",21,23
"SP_ASC",1,1,"子",23,1
"SP_ASC",1,2,"丑",1,3
"SP_ASC",1,3,"寅",3,5
"SP_ASC",1,4,"卯",5,7
"SP_ASC",1,5,"辰",7,9
"SP_ASC",1,6,"巳",9,11
"SP_ASC",1,7,"午",11,13
"SP_ASC",1,8,"未",13,15
"SP_ASC",1,9,"申",15,17
"SP_ASC",1,1,"酉",17,19
"SP_ASC",1,2,"戌",19,21
"SP_ASC",1,3,"亥",21,23
"SP_ASC",2,4,"子",23,1
"SP_ASC",2,5,"丑",1,3
"SP_ASC",2,6,"寅",3,5
"SP_ASC",2,7,"卯",5,7
"SP_ASC",2,8,"辰",7,9
"SP_ASC",2,9,"巳",9,11
"SP_ASC",2,1,"午",11,13
"SP_ASC",2,2,"未",13,15
"SP_ASC",2,3,"申",15,17
"SP_ASC",2,4,"酉",17,19
"SP_ASC",2,5,"戌",19,21
"SP_ASC",2,6,"亥",21,23
"SP_ASC",3,7,"子",23,1
"SP_ASC",3,8,"丑",1,3
"SP_ASC",3,9,"寅",3,5
"SP_ASC",3,1,"卯",5,7
"SP_ASC",3,2,"辰",7,9
"SP_ASC",3,3,"巳",9,11
"SP_ASC",3,4,"午",11,13
"SP_ASC",3,5,"未",13,15
"SP_ASC",3,6,"申",15,17
"SP_ASC",3,7,"酉",17,19
"SP_ASC",3,8,"戌",19,21
"SP_ASC",3,9,"亥",21,23
