date,pattern
1900-06-20,SP_DESC
1900-12-17,SP_ASC
1901-06-15,SP_DESC
1901-12-12,SP_ASC
1902-06-10,SP_DESC
1902-12-07,SP_ASC
1903-06-05,SP_DESC
1903-12-02,SP_ASC
1904-05-30,SP_DESC
1904-11-26,SP_ASC
1905-05-25,SP_DESC
1905-12-21,SP_ASC
1906-07-19,SP_DESC
1907-01-15,SP_ASC
1907-07-14,SP_DESC
1908-01-10,SP_ASC
1908-07-08,SP_DESC
1909-01-04,SP_ASC
1909-07-03,SP_DESC
1909-12-30,SP_ASC
1910-06-28,SP_DESC
1910-12-25,SP_ASC
1911-06-23,SP_DESC
1911-12-20,SP_ASC
1912-06-17,SP_DESC
1912-12-14,SP_ASC
1913-06-12,SP_DESC
1913-12-09,SP_ASC
1914-06-07,SP_DESC
1914-12-04,SP_ASC
1915-06-02,SP_DESC
1915-11-29,SP_ASC
1916-05-27,SP_DESC
1916-11-23,SP_ASC
1917-06-21,SP_DESC
1918-01-17,SP_ASC
1918-07-16,SP_DESC
1919-01-12,SP_ASC
1919-07-11,SP_DESC
1920-01-07,SP_ASC
1920-07-05,SP_DESC
1921-01-01,SP_ASC
1921-06-30,SP_DESC
1921-12-27,SP_ASC
1922-06-25,SP_DESC
1922-12-22,SP_ASC
1923-06-20,SP_DESC
1923-12-17,SP_ASC
1924-06-14,SP_DESC
1924-12-11,SP_ASC
1925-06-09,SP_DESC
1925-12-06,SP_ASC
1926-06-04,SP_DESC
1926-12-01,SP_ASC
1927-05-30,SP_DESC
1927-11-26,SP_ASC
1928-05-24,SP_DESC
1928-12-20,SP_ASC
1929-07-18,SP_DESC
1930-01-14,SP_ASC
1930-07-13,SP_DESC
1931-01-09,SP_ASC
1931-07-08,SP_DESC
1932-01-04,SP_ASC
1932-07-02,SP_DESC
1932-12-29,SP_ASC
1933-06-27,SP_DESC
1933-12-24,SP_ASC
1934-06-22,SP_DESC
1934-12-19,SP_ASC
1935-06-17,SP_DESC
1935-12-14,SP_ASC
1936-06-11,SP_DESC
1936-12-08,SP_ASC
1937-06-06,SP_DESC
1937-12-03,SP_ASC
1938-06-01,SP_DESC
1938-11-28,SP_ASC
1939-05-27,SP_DESC
1939-12-23,SP_ASC
1940-07-20,SP_DESC
1941-01-16,SP_ASC
1941-07-15,SP_DESC
1942-01-11,SP_ASC
1942-07-10,SP_DESC
1943-01-06,SP_ASC
1943-07-05,SP_DESC
1944-01-01,SP_ASC
1944-06-29,SP_DESC
1944-12-26,SP_ASC
1945-06-24,SP_DESC
1945-12-21,SP_ASC
1946-06-19,SP_DESC
1946-12-16,SP_ASC
1947-06-14,SP_DESC
1947-12-11,SP_ASC
1948-06-08,SP_DESC
1948-12-05,SP_ASC
1949-06-03,SP_DESC
1949-11-30,SP_ASC
1950-05-29,SP_DESC
1950-11-25,SP_ASC
1951-05-24,SP_DESC
1951-12-20,SP_ASC
1952-07-17,SP_DESC
1953-01-13,SP_ASC
1953-07-12,SP_DESC
1954-01-08,SP_ASC
1954-07-07,SP_DESC
1955-01-03,SP_ASC
1955-07-02,SP_DESC
1955-12-29,SP_ASC
1956-06-26,SP_DESC
1956-12-23,SP_ASC
1957-06-21,SP_DESC
1957-12-18,SP_ASC
1958-06-16,SP_DESC
1958-12-13,SP_ASC
1959-06-11,SP_DESC
1959-12-08,SP_ASC
1960-06-05,SP_DESC
1960-12-02,SP_ASC
1961-05-31,SP_DESC
1961-11-27,SP_ASC
1962-05-26,SP_DESC
1962-12-22,SP_ASC
1963-07-20,SP_DESC
1964-01-16,SP_ASC
1964-07-14,SP_DESC
1965-01-10,SP_ASC
1965-07-09,SP_DESC
1966-01-05,SP_ASC
1966-07-04,SP_DESC
1966-12-31,SP_ASC
1967-06-29,SP_DESC
1967-12-26,SP_ASC
1968-06-23,SP_DESC
1968-12-20,SP_ASC
1969-06-18,SP_DESC
1969-12-15,SP_ASC
1970-06-13,SP_DESC
1970-12-10,SP_ASC
1971-06-08,SP_DESC
1971-12-05,SP_ASC
1972-06-02,SP_DESC
1972-11-29,SP_ASC
1973-05-28,SP_DESC
1973-11-24,SP_ASC
1974-06-22,SP_DESC
1975-01-18,SP_ASC
1975-07-17,SP_DESC
1976-01-13,SP_ASC
1976-07-11,SP_DESC
1977-01-07,SP_ASC
1977-07-06,SP_DESC
1978-01-02,SP_ASC
1978-07-01,SP_DESC
1978-12-28,SP_ASC
1979-06-26,SP_DESC
1979-12-23,SP_ASC
1980-06-20,SP_DESC
1980-12-17,SP_ASC
1981-06-15,SP_DESC
1981-12-12,SP_ASC
1982-06-10,SP_DESC
1982-12-07,SP_ASC
1983-06-05,SP_DESC
1983-12-02,SP_ASC
1984-05-30,SP_DESC
1984-11-26,SP_ASC
1985-05-25,SP_DESC
1985-12-21,SP_ASC
1986-07-19,SP_DESC
1987-01-15,SP_ASC
1987-07-14,SP_DESC
1988-01-10,SP_ASC
1988-07-08,SP_DESC
1989-01-04,SP_ASC
1989-07-03,SP_DESC
1989-12-30,SP_ASC
1990-06-28,SP_DESC
1990-12-25,SP_ASC
1991-06-23,SP_DESC
1991-12-20,SP_ASC
1992-06-17,SP_DESC
1992-12-14,SP_ASC
1993-06-12,SP_DESC
1993-12-09,SP_ASC
1994-06-07,SP_DESC
1994-12-04,SP_ASC
1995-06-02,SP_DESC
1995-11-29,SP_ASC
1996-05-27,SP_DESC
1996-11-23,SP_ASC
1997-06-21,SP_DESC
1998-01-17,SP_ASC
1998-07-16,SP_DESC
1999-01-12,SP_ASC
1999-07-11,SP_DESC
2000-01-07,SP_ASC
2000-07-05,SP_DESC
2001-01-01,SP_ASC
2001-06-30,SP_DESC
2001-12-27,SP_ASC
2002-06-25,SP_DESC
2002-12-22,SP_ASC
2003-06-20,SP_DESC
2003-12-17,SP_ASC
2004-06-14,SP_DESC
2004-12-11,SP_ASC
2005-06-09,SP_DESC
2005-12-06,SP_ASC
2006-06-04,SP_DESC
2006-12-01,SP_ASC
2007-05-30,SP_DESC
2007-11-26,SP_ASC
2008-05-24,SP_DESC
2008-12-20,SP_ASC
2009-07-18,SP_DESC
2010-01-14,SP_ASC
2010-07-13,SP_DESC
2011-01-09,SP_ASC
2011-07-08,SP_DESC
2012-01-04,SP_ASC
2012-07-02,SP_DESC
2012-12-29,SP_ASC
2013-06-27,SP_DESC
2013-12-24,SP_ASC
2014-06-22,SP_DESC
2014-12-19,SP_ASC
2015-06-17,SP_DESC
2015-12-14,SP_ASC
2016-06-11,SP_DESC
2016-12-08,SP_ASC
2017-06-06,SP_DESC
2017-12-03,SP_ASC
2018-06-01,SP_DESC
2018-11-28,SP_ASC
2019-05-27,SP_DESC
2019-11-23,SP_ASC
2020-06-20,SP_DESC
2021-01-16,SP_ASC
2021-07-15,SP_DESC
2022-01-11,SP_ASC
2022-07-10,SP_DESC
2023-01-06,SP_ASC
2023-07-05,SP_DESC
2024-01-01,SP_ASC
2024-06-29,SP_DESC
2024-12-26,SP_ASC
2025-06-24,SP_DESC
2025-12-21,SP_ASC
2026-06-19,SP_DESC
2026-12-16,SP_ASC
2027-06-14,SP_DESC
2027-12-11,SP_ASC
