year,solar_starts_date,solar_starts_time,zodiac,star_number
1955,"1955-02-04","23:18:00","乙未",9
1956,"1956-02-05","05:13:00","丙申",8
1957,"1957-02-04","10:55:00","丁酉",7
1958,"1958-02-04","16:50:00","戊戌",6
1959,"1959-02-04","22:43:00","己亥",5
1960,"1960-02-05","04:23:00","庚子",4
1961,"1961-02-04","10:23:00","辛丑",3
1962,"1962-02-04","16:18:00","壬寅",2
1963,"1963-02-04","22:08:00","癸卯",1
1964,"1964-02-05","04:05:00","甲辰",9
1965,"1965-02-04","09:46:00","乙巳",8
1966,"1966-02-04","15:38:00","丙午",7
1967,"1967-02-04","21:31:00","丁未",6
1968,"1968-02-05","03:08:00","戊申",5
1969,"1969-02-04","08:59:00","己酉",4
1970,"1970-02-04","14:46:00","庚戌",3
1971,"1971-02-04","20:26:00","辛亥",2
1972,"1972-02-05","02:20:00","壬子",1
1973,"1973-02-04","08:04:00","癸丑",9
1974,"1974-02-04","14:00:00","甲寅",8
1975,"1975-02-04","19:59:00","乙卯",7
1976,"1976-02-05","01:40:00","丙辰",6
1977,"1977-02-04","07:34:00","丁巳",5
1978,"1978-02-04","13:27:00","戊午",4
1979,"1979-02-04","19:13:00","己未",3
1980,"1980-02-05","01:10:00","庚申",2
1981,"1981-02-04","06:56:00","辛酉",1
1982,"1982-02-04","12:46:00","壬戌",9
1983,"1983-02-04","18:40:00","癸亥",8
1984,"1984-02-05","00:19:00","甲子",7
1985,"1985-02-04","06:12:00","乙丑",6
1986,"1986-02-04","12:08:00","丙寅",5
1987,"1987-02-04","17:52:00","丁卯",4
1988,"1988-02-04","23:43:00","戊辰",3
1989,"1989-02-04","05:27:00","己巳",2
1990,"1990-02-04","11:14:00","庚午",1
1991,"1991-02-04","17:08:00","辛未",9
1992,"1992-02-04","22:48:00","壬申",8
1993,"1993-02-04","04:37:00","癸酉",7
1994,"1994-02-04","10:31:00","甲戌",6
1995,"1995-02-04","16:13:00","乙亥",5
1996,"1996-02-04","22:08:00","丙子",4
1997,"1997-02-04","04:02:00","丁丑",3
1998,"1998-02-04","09:57:00","戊寅",2
1999,"1999-02-04","15:57:00","己卯",1
2000,"2000-02-04","21:40:00","庚辰",9
2001,"2001-02-04","03:29:00","辛巳",8
2002,"2002-02-04","09:24:00","壬午",7
2003,"2003-02-04","15:05:00","癸未",6
2004,"2004-02-04","20:56:00","甲申",5
2005,"2005-02-04","02:43:00","乙酉",4
2006,"2006-02-04","08:27:00","丙戌",3
2007,"2007-02-04","14:18:00","丁亥",2
2008,"2008-02-04","20:00:00","戊子",1
2009,"2009-02-04","01:50:00","己丑",9
2010,"2010-02-04","07:48:00","庚寅",8
2011,"2011-02-04","13:33:00","辛卯",7
2012,"2012-02-04","19:22:00","壬辰",6
2013,"2013-02-04","01:13:00","癸巳",5
2014,"2014-02-04","07:03:00","甲午",4
2015,"2015-02-04","12:58:00","乙未",3
2016,"2016-02-04","18:46:00","丙申",2
2017,"2017-02-04","00:34:00","丁酉",1
2018,"2018-02-04","06:28:00","戊戌",9
2019,"2019-02-04","12:14:00","己亥",8
2020,"2020-02-04","18:03:00","庚子",7
2021,"2021-02-03","23:59:00","辛丑",6
2022,"2022-02-04","05:51:00","壬寅",5
2023,"2023-02-04","11:43:00","癸卯",4
2024,"2024-02-04","12:27:00","甲辰",3
2025,"2025-02-04","18:13:00","乙巳",2
2026,"2026-02-04","05:02:00","丙午",1
2027,"2027-02-04","10:46:00","丁未",9
2028,"2028-02-04","16:30:00","丁未",8
2029,"2029-02-03","22:20:00","戊申",7
