year,month,solar_terms_date,solar_terms_time,solar_terms_name,zodiac,star_number
1955,2,"1955-02-04","23:18","立春","戊寅",5
1955,3,"1955-03-06","17:32","啓蟄","己卯",4
1955,4,"1955-04-05","22:39","清明","庚辰",3
1955,5,"1955-05-06","16:18","立夏","辛巳",2
1955,6,"1955-06-06","20:44","芒種","壬午",1
1955,7,"1955-07-08","07:06","小暑","癸未",9
1955,8,"1955-08-08","16:51","立秋","甲申",8
1955,9,"1955-09-08","19:32","白露","乙酉",7
1955,10,"1955-10-09","10:53","寒露","丙戌",6
1955,11,"1955-11-08","13:46","立冬","丁亥",5
1955,12,"1955-12-08","06:24","大雪","戊子",4
1956,1,"1956-01-06","17:31","小寒","己丑",3
1956,2,"1956-02-05","05:13","立春","庚寅",2
1956,3,"1956-03-05","23:25","啓蟄","辛卯",1
1956,4,"1956-04-05","04:32","清明","壬辰",9
1956,5,"1956-05-05","22:10","立夏","癸巳",8
1956,6,"1956-06-06","02:36","芒種","甲午",7
1956,7,"1956-07-07","12:59","小暑","乙未",6
1956,8,"1956-08-07","22:41","立秋","丙申",5
1956,9,"1956-09-08","01:20","白露","丁酉",4
1956,10,"1956-10-08","16:37","寒露","戊戌",3
1956,11,"1956-11-07","19:27","立冬","己亥",2
1956,12,"1956-12-07","12:03","大雪","庚子",1
1957,1,"1957-01-05","23:11","小寒","辛丑",9
1957,2,"1957-02-04","10:55","立春","壬寅",8
1957,3,"1957-03-06","05:11","啓蟄","癸卯",7
1957,4,"1957-04-05","10:19","清明","甲辰",6
1957,5,"1957-05-06","03:59","立夏","乙巳",5
1957,6,"1957-06-06","08:25","芒種","丙午",4
1957,7,"1957-07-07","18:49","小暑","丁未",3
1957,8,"1957-08-08","04:33","立秋","戊申",2
1957,9,"1957-09-08","07:13","白露","己酉",1
1957,10,"1957-10-08","22:31","寒露","庚戌",9
1957,11,"1957-11-08","01:21","立冬","辛亥",8
1957,12,"1957-12-07","17:57","大雪","壬子",7
1958,1,"1958-01-06","05:05","小寒","癸丑",6
1958,2,"1958-02-04","16:50","立春","甲寅",5
1958,3,"1958-03-06","11:06","啓蟄","乙卯",4
1958,4,"1958-04-05","16:13","清明","丙辰",3
1958,5,"1958-05-06","09:50","立夏","丁巳",2
1958,6,"1958-06-06","14:13","芒種","戊午",1
1958,7,"1958-07-08","00:34","小暑","己未",9
1958,8,"1958-08-08","10:18","立秋","庚申",8
1958,9,"1958-09-08","13:00","白露","辛酉",7
1958,10,"1958-10-09","04:20","寒露","壬戌",6
1958,11,"1958-11-08","07:13","立冬","癸亥",5
1958,12,"1958-12-07","23:50","大雪","甲子",4
1959,1,"1959-01-06","10:59","小寒","乙丑",3
1959,2,"1959-02-04","22:43","立春","丙寅",2
1959,3,"1959-03-06","16:57","啓蟄","丁卯",1
1959,4,"1959-04-05","22:04","清明","戊辰",9
1959,5,"1959-05-06","15:39","立夏","己巳",8
1959,6,"1959-06-06","20:01","芒種","庚午",7
1959,7,"1959-07-08","06:20","小暑","辛未",6
1959,8,"1959-08-08","16:05","立秋","壬申",5
1959,9,"1959-09-08","18:49","白露","癸酉",4
1959,10,"1959-10-09","10:11","寒露","甲戌",3
1959,11,"1959-11-08","13:03","立冬","乙亥",2
1959,12,"1959-12-08","05:38","大雪","丙子",1
