"symbols","pattern_code"
"▲","PATTERN_001"
"▲▲","PATTERN_002"
"▲▲▲","PATTERN_003"
"▲▲▲▲","PATTERN_004"
"▲▲▲▲▲▲","PATTERN_005"
"▲▲▲◆","PATTERN_006"
"▲▲▲◆ＰＰ","PATTERN_007"
"▲▲▲◎","PATTERN_008"
"▲▲▲◎◎","PATTERN_009"
"▲▲▲◎◎◎","PATTERN_010"
"▲▲▲☆◎Ｐ","PATTERN_011"
"▲▲▲Ｆ","PATTERN_012"
"▲▲▲Ｐ","PATTERN_013"
"▲▲◆","PATTERN_014"
"▲▲◆◎","PATTERN_015"
"▲▲◆Ｐ","PATTERN_016"
"▲▲◎","PATTERN_017"
"▲▲◎◎","PATTERN_018"
"▲▲◎◎◎","PATTERN_019"
"▲▲◎◎◎◎","PATTERN_020"
"▲▲◎◎◎◎◎◎","PATTERN_021"
"▲▲◎◎Ｆ","PATTERN_022"
"▲▲◎◎Ｐ","PATTERN_023"
"▲▲◎☆Ｐ","PATTERN_024"
"▲▲◎Ｐ","PATTERN_025"
"▲▲☆◎Ｐ","PATTERN_026"
"▲▲☆◎ＰＰ","PATTERN_027"
"▲▲☆☆Ｐ","PATTERN_028"
"▲▲☆☆ＰＰ","PATTERN_029"
"▲▲☆ＦＰＰ","PATTERN_030"
"▲▲☆Ｐ","PATTERN_031"
"▲▲☆ＰＰ","PATTERN_032"
"▲▲Ｆ","PATTERN_033"
"▲▲Ｐ","PATTERN_034"
"▲▲Ｐ◎","PATTERN_035"
"▲▲Ｐ◎◎","PATTERN_036"
"▲▲ＰＰ","PATTERN_037"
"▲▲ＰＰ☆","PATTERN_038"
"▲▲ＰＰ☆◎","PATTERN_039"
"▲◆","PATTERN_040"
"▲◆ＦＰ","PATTERN_041"
"▲◆Ｐ","PATTERN_042"
"▲◎","PATTERN_043"
"▲◎▲","PATTERN_044"
"▲◎▲◎","PATTERN_045"
"▲◎◎","PATTERN_046"
"▲◎◎◎","PATTERN_047"
"▲◎◎◎▲","PATTERN_048"
"▲◎◎◎◎☆Ｐ","PATTERN_049"
"▲◎◎◎☆Ｐ","PATTERN_050"
"▲◎◎◎Ｐ","PATTERN_051"
"▲◎☆Ｐ","PATTERN_052"
"▲◎Ｆ","PATTERN_053"
"▲◎Ｆ▲","PATTERN_054"
"▲◎ＦＰ","PATTERN_055"
"▲◎Ｐ","PATTERN_056"
"▲☆◎◎◎◎Ｐ","PATTERN_057"
"▲☆◎Ｐ","PATTERN_058"
"▲☆Ｐ","PATTERN_059"
"▲☆Ｐ◎","PATTERN_060"
"▲☆ＰＦ◎","PATTERN_061"
"▲☆ＰＰ","PATTERN_062"
"▲Ｆ","PATTERN_063"
"▲Ｆ◎","PATTERN_064"
"▲Ｆ◎◎","PATTERN_065"
"▲Ｆ☆Ｐ","PATTERN_066"
"▲ＦＰ","PATTERN_067"
"▲Ｐ","PATTERN_068"
"▲Ｐ◎","PATTERN_069"
"▲Ｐ◎◎","PATTERN_070"
"▲Ｐ◎◎◎","PATTERN_071"
"▲Ｐ◎◎☆◎","PATTERN_072"
"▲ＰＰ☆◎","PATTERN_073"
"◆","PATTERN_074"
"◆▲","PATTERN_075"
"◆▲▲▲","PATTERN_076"
"◆▲◎Ｐ","PATTERN_077"
"◆▲☆ＰＰ","PATTERN_078"
"◆▲Ｐ","PATTERN_079"
"◆▲ＰＰ","PATTERN_080"
"◆▲ＰＰ☆","PATTERN_081"
"◆◎Ｐ","PATTERN_082"
"◆ＦＰ","PATTERN_083"
"◆Ｐ","PATTERN_084"
"◎","PATTERN_085"
"◎▲","PATTERN_086"
"◎▲▲","PATTERN_087"
"◎▲◎","PATTERN_088"
"◎▲☆Ｐ","PATTERN_089"
"◎▲Ｐ","PATTERN_090"
"◎◆","PATTERN_091"
"◎◆▲","PATTERN_092"
"◎◆▲Ｐ","PATTERN_093"
"◎◆Ｐ","PATTERN_094"
"◎◎","PATTERN_095"
"◎◎▲","PATTERN_096"
"◎◎▲▲","PATTERN_097"
"◎◎▲▲▲","PATTERN_098"
"◎◎◆","PATTERN_099"
"◎◎◆▲Ｐ","PATTERN_100"
"◎◎◎","PATTERN_101"
"◎◎◎▲","PATTERN_102"
"◎◎◎▲▲","PATTERN_103"
"◎◎◎▲▲▲","PATTERN_104"
"◎◎◎▲☆Ｐ","PATTERN_105"
"◎◎◎▲Ｐ","PATTERN_106"
"◎◎◎◆","PATTERN_107"
"◎◎◎◆▲▲","PATTERN_108"
"◎◎◎◎","PATTERN_109"
"◎◎◎◎◎◎","PATTERN_110"
"◎◎◎◎◎◎▲▲","PATTERN_111"
"◎◎◎◎◎◎Ｆ▲▲","PATTERN_112"
"◎◎◎◎☆Ｐ","PATTERN_113"
"◎◎◎◎Ｐ☆","PATTERN_114"
"◎◎◎☆◎Ｐ","PATTERN_115"
"◎◎◎☆Ｐ","PATTERN_116"
"◎◎◎☆Ｐ▲","PATTERN_117"
"◎◎◎Ｆ▲","PATTERN_118"
"◎◎◎Ｐ","PATTERN_119"
"◎◎☆◎Ｐ","PATTERN_120"
"◎◎☆◎Ｐ▲","PATTERN_121"
"◎◎☆Ｐ","PATTERN_122"
"◎◎☆Ｐ▲","PATTERN_123"
"◎◎Ｆ","PATTERN_124"
"◎◎Ｆ▲▲","PATTERN_125"
"◎◎Ｆ◎","PATTERN_126"
"◎◎Ｐ","PATTERN_127"
"◎◎Ｐ▲▲","PATTERN_128"
"◎◎Ｐ▲☆","PATTERN_129"
"◎◎Ｐ☆","PATTERN_130"
"◎☆◎Ｐ","PATTERN_131"
"◎☆◎Ｐ▲","PATTERN_132"
"◎☆Ｐ","PATTERN_133"
"◎☆Ｐ▲","PATTERN_134"
"◎☆Ｐ▲▲","PATTERN_135"
"◎☆ＰＰ","PATTERN_136"
"◎Ｆ","PATTERN_137"
"◎Ｆ▲","PATTERN_138"
"◎Ｆ▲▲","PATTERN_139"
"◎Ｆ◎","PATTERN_140"
"◎Ｆ☆Ｐ","PATTERN_141"
"◎Ｆ☆Ｐ▲","PATTERN_142"
"◎ＦＰ","PATTERN_143"
"◎Ｐ","PATTERN_144"
"◎Ｐ▲","PATTERN_145"
"◎Ｐ▲▲","PATTERN_146"
"◎Ｐ▲▲☆","PATTERN_147"
"☆▲ＦＰＰ","PATTERN_148"
"☆▲ＰＰ","PATTERN_149"
"☆◎◎◎◎Ｐ","PATTERN_150"
"☆◎◎◎Ｐ","PATTERN_151"
"☆◎◎◎Ｐ▲","PATTERN_152"
"☆◎◎Ｐ","PATTERN_153"
"☆◎◎Ｐ▲","PATTERN_154"
"☆◎☆◎ＰＰ","PATTERN_155"
"☆◎ＦＰ","PATTERN_156"
"☆◎Ｐ","PATTERN_157"
"☆◎Ｐ▲","PATTERN_158"
"☆◎Ｐ▲▲","PATTERN_159"
"☆◎Ｐ▲▲▲","PATTERN_160"
"☆◎Ｐ▲◎◎◎","PATTERN_161"
"☆◎Ｐ◆","PATTERN_162"
"☆◎Ｐ◆▲","PATTERN_163"
"☆◎Ｐ◎","PATTERN_164"
"☆◎Ｐ◎◎","PATTERN_165"
"☆◎ＰＦ","PATTERN_166"
"☆◎ＰＦ▲","PATTERN_167"
"☆◎ＰＦ▲▲","PATTERN_168"
"☆◎ＰＦＰ","PATTERN_169"
"☆◎ＰＰ","PATTERN_170"
"☆◎ＰＰ▲","PATTERN_171"
"☆◎ＰＰ▲▲","PATTERN_172"
"☆◎ＰＰ◆▲","PATTERN_173"
"☆◎ＰＰＦ","PATTERN_174"
"☆☆◎◎ＰＰ","PATTERN_175"
"☆☆◎◎ＰＰ▲▲","PATTERN_176"
"☆☆ＰＰ","PATTERN_177"
"☆☆ＰＰ▲▲","PATTERN_178"
"☆☆ＰＰ◎◎","PATTERN_179"
"☆ＦＰ","PATTERN_180"
"☆Ｐ","PATTERN_181"
"☆Ｐ▲","PATTERN_182"
"☆Ｐ▲▲","PATTERN_183"
"☆Ｐ▲◆","PATTERN_184"
"☆Ｐ▲◎","PATTERN_185"
"☆Ｐ▲◎◎","PATTERN_186"
"☆Ｐ▲◎◎◎","PATTERN_187"
"☆Ｐ▲◎◎◎◎","PATTERN_188"
"☆Ｐ▲Ｐ","PATTERN_189"
"☆Ｐ◆▲","PATTERN_190"
"☆Ｐ◎","PATTERN_191"
"☆Ｐ◎▲","PATTERN_192"
"☆Ｐ◎▲▲","PATTERN_193"
"☆Ｐ◎◆","PATTERN_194"
"☆Ｐ◎◎","PATTERN_195"
"☆Ｐ◎◎◎","PATTERN_196"
"☆Ｐ◎◎◎▲","PATTERN_197"
"☆Ｐ◎◎◎◎","PATTERN_198"
"☆Ｐ◎Ｐ","PATTERN_199"
"☆Ｐ☆Ｐ","PATTERN_200"
"☆ＰＦ▲▲","PATTERN_201"
"☆ＰＦ◎","PATTERN_202"
"☆ＰＦ◎▲","PATTERN_203"
"☆ＰＰ","PATTERN_204"
"☆ＰＰＰ◎","PATTERN_205"
"Ｆ","PATTERN_206"
"Ｆ▲","PATTERN_207"
"Ｆ▲▲","PATTERN_208"
"Ｆ▲▲▲","PATTERN_209"
"Ｆ▲◆","PATTERN_210"
"Ｆ▲◎","PATTERN_211"
"Ｆ▲◎◎","PATTERN_212"
"Ｆ▲◎◎◎","PATTERN_213"
"Ｆ▲☆Ｐ","PATTERN_214"
"Ｆ▲Ｐ","PATTERN_215"
"Ｆ◆","PATTERN_216"
"Ｆ◆▲","PATTERN_217"
"Ｆ◎","PATTERN_218"
"Ｆ◎▲","PATTERN_219"
"Ｆ◎◎","PATTERN_220"
"Ｆ◎◎◎","PATTERN_221"
"Ｆ◎◎◎◎","PATTERN_222"
"Ｆ☆◎Ｐ","PATTERN_223"
